side,entry_time,exit_time,entry_price,exit_price,pnl_pct,duration_bars
SHORT,2025-12-11 13:15:00+05:30,2025-12-11 13:20:00+05:30,25854.05,25864.2,-0.0003925883952418076,1
LONG,2025-12-11 14:25:00+05:30,2025-12-11 14:30:00+05:30,25886.7,25917.1,0.0011743482174243073,1
SHORT,2025-12-11 14:55:00+05:30,2025-12-11 15:15:00+05:30,25867.35,25895.1,-0.0010727809381324335,4
LONG,2025-12-12 15:10:00+05:30,2025-12-12 15:20:00+05:30,26052.0,26046.65,-0.0002053585137416914,2
SHORT,2025-12-15 09:25:00+05:30,2025-12-15 09:40:00+05:30,25928.05,25926.5,5.978081652878918e-05,3
LONG,2025-12-15 10:35:00+05:30,2025-12-15 10:40:00+05:30,25975.5,25956.85,-0.0007179842543936192,1
SHORT,2025-12-15 10:45:00+05:30,2025-12-15 11:00:00+05:30,25968.4,25987.35,-0.000729733060180723,3
LONG,2025-12-15 11:55:00+05:30,2025-12-15 12:10:00+05:30,26007.8,26019.25,0.00044025253962275655,3
SHORT,2025-12-15 14:15:00+05:30,2025-12-15 14:20:00+05:30,26009.5,26013.95,-0.00017109133201333082,1
LONG,2025-12-15 14:50:00+05:30,2025-12-15 14:55:00+05:30,26029.5,26035.4,0.00022666589830774525,1
SHORT,2025-12-16 09:20:00+05:30,2025-12-16 09:40:00+05:30,25938.35,25916.1,0.0008578032141597288,4
LONG,2025-12-16 12:35:00+05:30,2025-12-16 12:40:00+05:30,25905.9,25889.55,-0.0006311303602655064,1
SHORT,2025-12-16 12:55:00+05:30,2025-12-16 13:00:00+05:30,25883.3,25898.9,-0.0006027052191954729,1
LONG,2025-12-16 13:40:00+05:30,2025-12-16 13:50:00+05:30,25908.3,25923.05,0.0005693156247225793,2
LONG,2025-12-17 09:30:00+05:30,2025-12-17 09:45:00+05:30,25903.9,25880.1,-0.000918780569721274,3
LONG,2025-12-17 11:55:00+05:30,2025-12-17 12:15:00+05:30,25829.3,25796.6,-0.0012660041116097118,4
SHORT,2025-12-17 13:45:00+05:30,2025-12-17 13:50:00+05:30,25787.1,25791.35,-0.00016481108771439985,1
LONG,2025-12-17 14:25:00+05:30,2025-12-17 14:35:00+05:30,25797.65,25814.05,0.0006357168191675527,2
SHORT,2025-12-17 14:45:00+05:30,2025-12-17 15:00:00+05:30,25792.0,25814.65,-0.0008781792803970788,3
SHORT,2025-12-18 09:25:00+05:30,2025-12-18 09:40:00+05:30,25796.3,25776.1,0.0007830580354547252,3
LONG,2025-12-18 10:25:00+05:30,2025-12-18 10:35:00+05:30,25834.95,25855.5,0.0007954340921890413,2
SHORT,2025-12-19 11:35:00+05:30,2025-12-19 11:40:00+05:30,25929.8,25935.15,-0.00020632631181120498,1
LONG,2025-12-19 12:40:00+05:30,2025-12-19 12:50:00+05:30,25959.55,25951.15,-0.0003235803394125791,2
SHORT,2025-12-19 13:20:00+05:30,2025-12-19 13:30:00+05:30,25955.3,25956.1,-3.082222128040409e-05,2
SHORT,2025-12-22 09:20:00+05:30,2025-12-22 09:35:00+05:30,26094.55,26125.85,-0.0011994841834788979,3
SHORT,2025-12-22 12:50:00+05:30,2025-12-22 12:55:00+05:30,26122.5,26148.8,-0.0010067949086036664,1
LONG,2025-12-22 13:00:00+05:30,2025-12-22 13:10:00+05:30,26138.9,26141.05,8.225288745883786e-05,2
SHORT,2025-12-22 14:15:00+05:30,2025-12-22 14:40:00+05:30,26143.85,26166.0,-0.0008472355831295489,5
LONG,2025-12-23 10:05:00+05:30,2025-12-23 10:15:00+05:30,26182.0,26185.6,0.00013749904514546424,2
LONG,2025-12-23 12:10:00+05:30,2025-12-23 12:15:00+05:30,26189.3,26187.8,-5.727529945435732e-05,1
